file_id,class_id
4315695931772451562,7
3928961613822824421,7
2060029734910697938,2
563893442444954348,7
3544250509795438384,7
4344426378872589796,6
7971494195986889467,1
7284497078096288609,4
3587811226937089762,7
4188181147815870792,3
3158614758564859825,4
7151514471744549780,7
6881478776701765427,7
425538470917412257,6
4222282881696739707,2
5901799044979302763,3
1921388954638456357,2
2534567233334490555,7
8884985949922778949,7
8969503894358379243,4
934272510234146376,5
958756886394086694,4
1502406993086553037,4
5197705986538248466,2
8964329981336893353,7
449507153113803737,7
8324316197272143918,7
1313963348476984246,5
4788822881516199895,1
5733605385990938302,4
7140718609914495027,4
7676149664652170617,7
993359120948382622,7
8825684382076624528,7
4001497571864733595,6
8379315917333932468,7
6778729318358944933,6
8931956126422996271,7
5527183831274817402,7
6285898424002167754,7
2835105228547594964,3
7981283182821162700,6
8836843231413753279,7
3164901946046981722,6
7160988753798457552,9
8404635796934813871,2
2296423744653318083,2
6472952872291637537,1
3097190366343406942,3
5317280630067505422,5
6460986324843948181,7
2092565843602260115,3
7432196520577637079,2
8826025313602607101,5
651928402429915879,3
7858541713149778704,2
2282521568084579589,5
5360733250694449005,2
281557123078893205,7
2994914864269540013,7
8543910143025291840,3
4308998085855805730,2
3298830376939694773,5
3193728983077773324,4
362530115596837286,7
2989737995708341570,7
875433006704730201,7
8771025938944244813,5
4245154275920821482,7
1523739804604715513,2
8545868157713044917,5
2794019521044396194,2
8715757075827231859,7
8962183932141359792,2
8645805343178040824,7
3854958561552120861,1
6833615100569762801,7
3793495521871459932,7
4251785950882055193,7
3772562522768889640,3
5183945492458812804,1
3493477110068263216,7
8924905427790712562,7
6597627596339440430,7
5519924008489810483,7
5138254488463248594,6
8880554910417739872,1
2020157804733175658,4
8531327105042915784,6
411168715707652136,1
8762872200238238141,2
3489263403679402862,7
6532537849177073810,7
8037309199580158029,7
592078452551183420,2
4282300849554828450,7
1865548050006346703,3
6649542693982736167,7
272639775664232711,7
8238779316405628452,6
5536274393454270591,2
1005290758554877158,4
8841517891986693340,7
3498203570884375818,7
6745947725118385160,7
8466105407502007593,6
4641035127813570329,7
7897975832486160900,7
568469546696796225,7
5659649090174291567,7
6194611649443381168,7
9087664587600911589,7
8122305787037918417,7
7893449201904766685,7
9195515580006041069,7
3584186350113102681,7
2773333005786765850,2
6691321947738273980,2
1489412062312092579,7
8288785465568867545,7
8011357761344013783,7
1639686104780356970,7
8323751727444135752,3
768313540492763104,7
7311942543388706552,2
8757350163918792590,7
722209987039158121,0
7738313169662589452,7
4100149814071911577,7
92567857262351342,7
8129354848279856977,7
8620636454038821731,1
5468787511987372808,2
4841087724210233071,7
