file_id,class_id
4226716244150291618,6
7748053426478254789,5
4432254493116451250,5
4557045506336694483,7
8217401909103028372,7
5979160967185146079,5
7838365446265963635,7
9032355463022510839,5
1546943427986515132,3
6402344697944243035,4
3512787074170120954,4
5939618599067421807,6
778288629837709409,7
2559772048081748019,9
5674414133626374803,6
6662768263285023478,6
5342266360292373312,2
1257117520809637661,7
1302449464332903235,7
4198539048954020174,7
3821900653477175604,7
7231327910813280424,7
4407542316986639579,3
4816597615059173471,7
4333019794172865241,1
2379950130967383486,5
2116428413936806574,7
5087033681305826027,9
8273428919872838980,7
7840906428266743664,2
1663221826941957539,5
5642150717301366961,7
4403364893741638196,7
3631984398207705366,7
1583025484400309471,1
304317732234162705,2
1928452913945645250,7
508234287273397567,7
5245495041778575185,1
3076987142536902925,7
7758948975839860489,7
2154528864420959903,3
2940854782756186609,1
1052542186139332453,7
170584772525921033,4
3237587807357133080,1
3432258719549764523,6
919291925318311203,3
390026773146568760,7
6397284825463033593,2
4100149814071911577,7
7345014557284764386,7
1416095547181365749,1
1876942159800286326,7
4470054007213155521,4
4847473254160872969,7
893570665617517931,3
7687576268245849195,7
3442932615228147382,7
1465842537789483129,1
2648788748569818740,9
5415543046487515917,1
4426325795831920389,6
4773531245421234714,7
4066677472426576583,7
7711365503797443296,7
7925447487379749027,6
6468758583159012869,7
8307713714398348622,7
1521718205080531773,4
8623117820400256252,7
7698155888512890021,7
8881888591537503529,4
3163592546870683437,7
6017371770038093484,7
6782904669489727129,7
8283486444587282865,7
2643828289888918277,7
3449563994502872214,2
1955761833226633544,5
2262870523872659316,7
2268399232745248559,6
8800538710129854027,3
3298009519116196081,7
1041370303636665148,7
5591971936629518280,2
8591660356904138429,7
1297202919792072140,2
3892880864447341268,7
3889547007736013034,7
3558362167985791346,7
8629902590254603799,2
5414848228059581428,6
7759745903123957505,4
4299161069891538088,7
5662089690451155281,7
2824114538871799998,7
5706206994971151931,4
8399340060490889444,3
468546047323997305,5
2107592456662574816,5
6405565373557896216,7
7791182832439469284,4
5030631536727735930,6
4179068604983503428,7
8939330217762790925,5
3163858634778144248,7
5722428112435682628,2
5869978927159757250,7
5626659430896611900,7
8786476178102116190,3
6449243722494465020,7
9202701121287371886,1
3183994327392551054,4
2500813109883707697,7
3225293132174923725,7
8395067694670685269,7
167650851263766400,3
8646245182983453557,7
2042207028580164019,1
7061151960892477271,1
1967025046602133896,7
7428415068267148906,7
5897753328904427389,0
4891604461245356075,7
5432732767813363706,7
2277183368443641211,7
5852060202934937151,1
8238779316405628452,6
797105461101750100,7
1334627907938557996,6
5224562272473951568,9
7473424725018920286,7
5332889505017598373,3
3280364635997297785,7
9122735421740301509,7
4152811667636491855,5
8757350163918792590,7
8603036803112147251,7
1866635844971394042,3
6131020200598171916,7
8450915344245665924,7
6621831221557293266,7
3300970388333618785,7
7485030827149607288,7
8711920414128983956,4
3085345404989597490,7
3107926173926355245,1
162012440418670590,3
568343966470775975,4
4130061450426238268,7
3377876948215270062,5
722209987039158121,0
2911578366083436608,5
8115191773428547625,7
8261057144199344416,2
5817613416731519180,7
388927508718411944,7
4590494969109209614,7
4215346071325461107,2
7210238454769187192,7
5695827810764616228,7
1048872335005369790,7
4257591933248975051,7
1491394574753493615,7
2282316845511373324,7
2769457184436931129,9
5913418139718605479,4
3336528063137508878,2
1866792352625196738,7
8238588533937323485,1
762509079825585713,3
5606635532429908710,7
3754194339716810842,2
4529798449773522907,7
5115119886016334528,7
8645805343178040824,7
6646353462195489388,7
764809931826302044,1
6591830893391031588,7
913260014907684752,7
1502406993086553037,4
9212125503894800975,3
2815974173333882945,4
6479170317539622400,4
8288785465568867545,7
5898598790316493226,2
7058368502825496726,3
3281923349927821299,7
1735232125406971690,2
6791975331660075645,2
7954440317670524072,7
2478362561033239643,7
3342842033136045548,7
7381800600753964250,7
433389838456104195,7
8697429879104353709,7
3575497036087748367,6
2960156464080677624,7
1505048451125908089,7
6025769532734807295,7
9000328830825417757,6
5987039504312064846,1
8267897017104465838,5
228374603620451206,1
5960677083955355218,4
2722138353482131092,7
5269491651857192287,7
